column_name,tier,feature_id,description,formula_short,input,units,range,spec_section
E_efd_r10,E,E10,Elliptic Fourier amplitude at harmonic 10 normalised by harmonic 1,A_10 / A_1,Lr,dimensionless,non-negative,Tier E
F_R1_thickness,F,F1.T,"Posterior (splenium) slab v-extent thickness; region 1 of 5 in the fixed antero-posterior partition",max_{i in S_1} v_i - min_{i in S_1} v_i,Lr,dimensionless,positive,Tier F
F_R1_kappa,F,F1.kappa,Mean |Menger kappa| over landmarks in the posterior slab,(1 / |S_1|) * sum_{i in S_1} |kappa_i|,Lr,1/(unit length),positive,Tier F
F_R2_thickness,F,F2.T,Mid-posterior slab v-extent thickness,max_{i in S_2} v_i - min_{i in S_2} v_i,Lr,dimensionless,positive,Tier F
F_R2_kappa,F,F2.kappa,Mean |Menger kappa| in the mid-posterior slab,(1 / |S_2|) * sum_{i in S_2} |kappa_i|,Lr,1/(unit length),positive,Tier F
F_R3_thickness,F,F3.T,Central (midbody) slab v-extent thickness,max_{i in S_3} v_i - min_{i in S_3} v_i,Lr,dimensionless,positive,Tier F
F_R3_kappa,F,F3.kappa,Mean |Menger kappa| in the central slab,(1 / |S_3|) * sum_{i in S_3} |kappa_i|,Lr,1/(unit length),positive,Tier F
F_R4_thickness,F,F4.T,Mid-anterior slab v-extent thickness,max_{i in S_4} v_i - min_{i in S_4} v_i,Lr,dimensionless,positive,Tier F
F_R4_kappa,F,F4.kappa,Mean |Menger kappa| in the mid-anterior slab,(1 / |S_4|) * sum_{i in S_4} |kappa_i|,Lr,1/(unit length),positive,Tier F
F_R5_thickness,F,F5.T,Anterior (genu) slab v-extent thickness,max_{i in S_5} v_i - min_{i in S_5} v_i,Lr,dimensionless,positive,Tier F
F_R5_kappa,F,F5.kappa,Mean |Menger kappa| in the anterior slab,(1 / |S_5|) * sum_{i in S_5} |kappa_i|,Lr,1/(unit length),positive,Tier F
G_cci,G,G1,"Corpus Callosum Index: sum of three slab thicknesses (anterior, central, posterior) divided by per-subject antero-posterior extent",(T_5 + T_3 + T_1) / (max_i u_i - min_i u_i),derived (Tier F + per-subject u),dimensionless,positive,Tier G
G_ratio_ap,G,G2,Anterior-to-posterior thickness ratio,T_5 / T_1,derived (Tier F),dimensionless,positive,Tier G
